CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L24124RJ2004PLC019288,KRISHANA PHOSCHEM LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-05-04,Rajasthan,300000000,261000000,24124,Manufacture of chemicals and chemical products,"5-O-20 BASEMENT R.C VYAS COLONY BHILWARA , Bhilwara Unclassified RJ 311001",RoC-Jaipur,secretarial@krishnaphoschem.com,31-03-20,31-03-20
L24203RJ1984PLC002926,GLOBAL SYNTEX (BHILAWARA) LTD,Active,Public,Company limited by Shares,Non-govt company,06-03-84,Rajasthan,80000000,50127000,24203,Manufacture of chemicals and chemical products,"RIICO INDUSTRIAL AREAPUR ROAD, P.B.NO.70 BHILWARA BHILWARA-311001 , Bhilwara Unclassified RJ 000000",RoC-Jaipur,sumachembhilwara@yahoo.com,31-03-18,31-03-18
L24211RJ1946PLC000469,PI INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-12-46,Rajasthan,723000000,151713435,24211,Manufacture of chemicals and chemical products,"UDAISAGAR ROAD, UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,s.varghese@piind.com,31-03-20,31-03-20
L24232RJ1986PLC016062,PAAM PHARMACEUTICALS (DELHI) LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-01-86,Rajasthan,500000000,204326000,24232,Manufacture of chemicals and chemical products,"A-904, RIICO INDUSTRIAL AREA, Phase III BHIWADI, ALWAR , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L24232RJ1991PLC005956,NALIN CHEMICALS LTD.,Active,Public,Company limited by Shares,Non-govt company,01-05-91,Rajasthan,70000000,48051600,24232,Manufacture of chemicals and chemical products,"E-127 INDUSTRIAL AREA BHIWADI , Alwar Unclassified RJ 301019",RoC-Jaipur,kamleshgoel.sonatimber@gmail.com,31-03-16,31-03-16
L24302RJ1970PLC002266,BSL LTD,Active,Public,Company limited by Shares,Non-govt company,24-10-70,Rajasthan,340000000,102921680,24302,Manufacture of chemicals and chemical products,"26, Industrial Area, Gandhi Nagar Bhilwara , Bhilwara Unclassified RJ 311001",RoC-Jaipur,accounts@bslsuitings.com,31-03-20,31-03-20
L24302RJ1976PLC001684,BANSWARA SYNTEX LTD,Active,Public,Company limited by Shares,Non-govt company,05-05-76,Rajasthan,688500000,171160420,24302,Manufacture of chemicals and chemical products,"INDUSTRIAL AREA, DAHOD ROAD, POST BOX NO. 21, BANSWARA , Banswara Unclassified RJ 327001",RoC-Jaipur,HPKHARWAL@BANSWARASYNTEX.COM,31-03-20,31-03-20
L24302RJ1976PLC001780,MODERN SYNTEX (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-11-76,Rajasthan,1600000000,1132166330,24302,Manufacture of chemicals and chemical products,"A-4, VIJAY PATH, TILAK NAGAR JAIPUR , Unclassified RJ 302004",RoC-Jaipur,modernjaipuroffice@gmail.com,31-03-19,31-03-19
L24302RJ1979PLC001948,SHREE RAJASTHAN SYNTEX LTD,Active,Public,Company limited by Shares,Non-govt company,15-11-79,Rajasthan,320000000,154023010,24302,Manufacture of chemicals and chemical products,"SRSL HOUSE PULLA BHUWANAROAD N.H. 8 UDAIPUR RAJASTHAN. , Unclassified RJ 313004",RoC-Jaipur,cs@srsl.in,31-03-20,31-03-20
L24302RJ1980PLC002100,JAIPUR POLYSPIN LTD,Amalgamated,Public,Company limited by Shares,Non-govt company,24-10-80,Rajasthan,100000000,62022000,24302,Manufacture of chemicals and chemical products,"D-60, SAWAI MADHO SINGH CIRCLEBANI PARK,JAIPUR BANI PARK,JAIPUR BANI PARK,JAIPUR , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L24302RJ1990PLC005560,RANJAN POLYSTER LTD.,Active,Public,Company limited by Shares,Non-govt company,27-08-90,Rajasthan,35000000,30009050,24302,Manufacture of chemicals and chemical products,"11-12TH,K.M. STONE, CHITTORGARH ROAD,GUWARDI, BHILWARA. , Unclassified RJ 000000",RoC-Jaipur,ranjanpoly@gmail.com,31-03-20,31-03-20
L24304RJ1948PLC001871,RAJASTHAN SYNTHETIC INDUSTRIES LTD,Active,Public,Company limited by Shares,Non-govt company,25-05-48,Rajasthan,40000000,20673450,24304,Manufacture of chemicals and chemical products,"1, GANESH COLONY, MOTI DOONGRI ROAD, JAIPUR , Jaipur Unclassified RJ 302004",RoC-Jaipur,rsilijaipur@gmail.com,31-03-20,31-03-20
L24304RJ1982PLC008646,PARASRAMPURIA SYNTHETICS LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,24-04-82,Rajasthan,1550000000,662794080,24304,Manufacture of chemicals and chemical products,"SP 145-D-I, RIICO INDUSTRIAL AREA, BHIWADI , Unclassified RJ 301019",RoC-Jaipur,aseem_cost@yahoo.com,31-03-17,31-03-17
L24305RJ1986PLC016132,AKSH OPTIFIBRE LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-03-86,Rajasthan,2600500000,813489855,24305,Manufacture of chemicals and chemical products,"F-1080,PHASE III RIICO INDUSTRIAL AREA BHIWADI , Unclassified RJ 301019",RoC-Jaipur,gaurav@akshoptifibre.com,31-03-20,31-03-20
L25111RJ1994PLC008698,RMC SWITCHGEARS LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-08-94,Rajasthan,65000000,60922000,25111,Manufacture of rubber and plastics products,"7 KM. FROM CHAKSU, KHOTKAWDA ROAD, VILLAGE BADODIYA, TEHSIL CHAKSU, TONK ROAD, JAIPUR , Unclassified RJ 303901",RoC-Jaipur,cs@rmcindia.in,31-03-20,31-03-20
L25191RJ1980PLC002077,A INFRASTRUCTURE LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-08-80,Rajasthan,360000000,248343500,25191,Manufacture of rubber and plastics products,"HAMIR GARH BHILWARA , Unclassified RJ 311025",RoC-Jaipur,cs@kanoria.org,31-03-20,31-03-20
L25191RJ1985PLC003492,KANDHARI RUBBERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-12-85,Rajasthan,80000000,36492500,25191,Manufacture of rubber and plastics products,"N.H.8, INDUSTRIAL AREA, SUKHER, UDAIPUR , Udaipur Unclassified RJ 313004",RoC-Jaipur,kunawat@hotmail.com,31-03-16,31-03-16
L25192RJ2000PLC016480,SOMI CONVEYOR BELTINGS LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-06-00,Rajasthan,250000000,117796560,25192,Manufacture of rubber and plastics products,"4F-15,OLIVER HOUSE, NEW POWER HOUSE, JODHPUR , Unclassified RJ 342003",RoC-Jaipur,info@ombhansali.com,31-03-20,31-03-20
L25207RJ1992PLC006576,PIL ITALICA LIFESTYLE LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-03-92,Rajasthan,250000000,235000000,25207,Manufacture of rubber and plastics products,"KODIYAT ROAD,VILLAGE-SISARMA, DISTRICT-UDAIPUR(RAJ.) UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,info@italica.com,31-03-20,31-03-20
L25209RJ1984PLC003152,GANPATI PLASTFAB LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-12-84,Rajasthan,35000000,26606000,25209,Manufacture of rubber and plastics products,"334, SHEKHAWAT MANSINGH BLOCK, NEMI SAGAR COLONY, QUEENS ROAD, JAIPUR , Unclassified RJ 302016",RoC-Jaipur,secretarygpl84@gmail.com,31-03-20,31-03-20
L25209RJ1989PLC004772,SAND PLAST (INDIA) LTD.,Under liquidation,Public,Company limited by Shares,Non-govt company,11-01-89,Rajasthan,350000000,295000000,25209,Manufacture of rubber and plastics products,"101, PRAKASH DEEP BUILDING, STATION ROAD JAIPUR , Jaipur Unclassified RJ 302006",RoC-Jaipur,spilindia@gmail.com,31-03-18,31-03-18
L25209RJ2006PLC022828,TIJARIA POLYPIPES LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-07-06,Rajasthan,490000000,286265790,25209,Manufacture of rubber and plastics products,"SP-1-2316 RIICO INDUSTRIAL AREA RAMCHANDRAPURA (SITAPURA EXTN) JAIPUR , Jaipur Unclassified RJ 302022",RoC-Jaipur,finance@tijaria-pipes.com,31-03-20,31-03-20
L25209RJ2009PLC030620,VINAYAK POLYCON INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-12-09,Rajasthan,32500000,30812950,25209,Manufacture of rubber and plastics products,"312, Navjeevan Complex 29, Station Road Jaipur , Unclassified RJ 302006",RoC-Jaipur,investor@vinayakpolycon.com,31-03-20,31-03-20
L26943RJ1976PLC001705,MANGALAM CEMENT LTD,Active,Public,Company limited by Shares,Non-govt company,27-10-76,Rajasthan,600000000,266938000,26943,Manufacture of other non-metallic mineral products,"ADITYA NAGAR, MORAKDISTT. KOTA DISTT. KOTA DISTT. KOTA , Unclassified RJ 000000",RoC-Jaipur,shares@mangalamcement.com,31-03-20,31-03-20
L26943RJ1979PLC001935,SHREE CEMENT LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-10-79,Rajasthan,750000000,360807480,26943,Manufacture of other non-metallic mineral products,"BANGUR NAGAR BEAWAR , Unclassified RJ 305901",RoC-Jaipur,share@shreecement.com,31-03-20,31-03-20
L26943RJ1979PLC001947,JAN PRIYA CEMENT LTD,Under liquidation,Public,Company limited by Shares,Non-govt company,15-11-79,Rajasthan,20000000,18484660,26943,Manufacture of other non-metallic mineral products,"WORKS-DALPATPURAVIA-PATAN,TEH.NEEMKATHANA. DISTT. SIKAR , Unclassified RJ 000000",RoC-Jaipur,mpkacs@yahoo.com,31-03-06,31-03-06
L26943RJ1992PLC006679,INDO AMERICAN CEMENT CORPORATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-04-92,Rajasthan,140000000,122646785,26943,Manufacture of other non-metallic mineral products,"VILLEGE & P.O. KHEJARLA,RANSIGAON ROAD,TEH.BILARA DIST.JODHPUR 342601 CRAJASTHAN. , Unclassified RJ 000000",RoC-Jaipur,iacc_limited@yahoo.com,NA,NA
L26943RJ1993PLC007267,UDAIPUR CEMENT WORKS LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-03-93,Rajasthan,4000000000,1955639268,26943,Manufacture of other non-metallic mineral products,"Shripati Nagar, CFA PO: Dabok Udaipur , Unclassified RJ 313022",RoC-Jaipur,ucwl.investors@jkmail.com,31-03-20,31-03-20
L27101RJ1962PLC001519,MULTI METALS LTD,Active,Public,Company limited by Shares,Non-govt company,02-08-62,Rajasthan,190000000,119500000,27101,Manufacture of basic metals,"HEAVY INDUSTRIES AREA, KANSUAROAD, KOTAH. , Unclassified RJ 324003",RoC-Jaipur,roc@multimetals.in,31-03-20,31-03-20
L27101RJ1994PLC067034,KAMDHENU LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-09-94,Rajasthan,300000000,269355000,27101,Manufacture of basic metals,"A-1112 & A-1114, RIICO Industrial Area Phase-III Bhiwadi , Alwar Unclassified RJ 301019",RoC-Jaipur,cs@kamdhenulimited.com,31-03-20,31-03-20
L27107RJ1968PLC001245,ANIL SPECIAL STEEL INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-05-68,Rajasthan,270000000,255717880,27107,Manufacture of basic metals,"P.O.MEENAWALA, KANAKPARA, JAIPUR , Unclassified RJ 302012",RoC-Jaipur,info@anilspecialsteel.com,31-03-16,31-03-16
L27107RJ1977PLC001733,PARTAP RAJASTHAN SPECIAL STEELS LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,21-04-77,Rajasthan,50000000,27523700,27107,Manufacture of basic metals,"108, ANUKAMPA-II, M.I. ROAD, AJMERI GATE JAIPUR , Jaipur Unclassified RJ 302001",RoC-Jaipur,pratapjp1@gmail.com,31-03-17,31-03-17
L27107RJ1985PLC003370,RAJASTHAN TUBE MANUFACTURING COMPANY LTD,Active,Public,Company limited by Shares,Non-govt company,29-07-85,Rajasthan,80000000,44998500,27107,Manufacture of basic metals,"28-37 BANKE BIHARI INDUSTRIAL AREA JATWALI MOD MAHARKALA ROAD VILLAGE DEHRA CHOMU , Jaipur Unclassified RJ 303806",RoC-Jaipur,RAJTUBE@HOTMAIL.COM,31-03-20,31-03-20
L27107RJ1992PLC006611,ASHIANA ISPAT LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-03-92,Rajasthan,150000000,79648000,27107,Manufacture of basic metals,"A-1116 RIICO INDUSTRIAL AREA,PHASE III BHIWADI ALWAR , Unclassified RJ 301019",RoC-Jaipur,ail@ashianaispat.in,31-03-20,31-03-20
L27109RJ2009PLC030511,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-12-09,Rajasthan,120000000,108763000,27109,Manufacture of basic metals,"Office No. 36, 4th Floor, Alankar Plaza A-10, Central Spine, Vidhyadhar Nagar Jaipur , Jaipur Unclassified RJ 302023",RoC-Jaipur,rammingmass@gmail.com,31-03-20,31-03-20
L27203RJ1971PLC003414,OM INFRA LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-12-71,Rajasthan,150000000,96303809,27203,Manufacture of basic metals,"2nd FLOOR, A-BLOCK, OM TOWER CHURCH ROAD, MI ROAD JAIPUR , Jaipur Unclassified RJ 302001",RoC-Jaipur,cs@ommetals.com,31-03-20,31-03-20
L27204RJ1966PLC001208,HINDUSTAN ZINC LIMITED,Active,Public,Company limited by Shares,Non-govt company,10-01-66,Rajasthan,10000000000,8450638000,27204,Manufacture of basic metals,"YASHAD BHAVAN, YASHADGARH, UDAIPUR , Unclassified RJ 313004",RoC-Jaipur,rajendra.pandwal@vedanta.co.in,31-03-20,31-03-20
L27204RJ1990PLC005692,ROSE ZINC LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-11-90,Rajasthan,100000000,80821200,27204,Manufacture of basic metals,"505-508, S.M. LODHA COMPLEX, OPP.SHASTRI CIRCLE POST OFFICE Udaipur , Udaipur Unclassified RJ 313001",RoC-Jaipur,IN_ROSEZINC@YAHOO.COM,31-03-18,31-03-18
L27310RJ2009PLC030038,UNIVERSAL AUTOFOUNDRY LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-10-09,Rajasthan,85000000,81100000,27310,Manufacture of basic metals,"B-307, ROAD NO. 16 V.K.I. AREA JAIPUR , Unclassified RJ 302013",RoC-Jaipur,cs@ufindia.com,31-03-20,31-03-20
L28101RJ1980PLC002140,RAJASTHAN CYLINDERS AND CONTAINERS LTD,Active,Public,Company limited by Shares,Non-govt company,24-12-80,Rajasthan,70000000,33616000,28101,"Manufacture of fabricated metal products, except machinery and equipment","SP-825,ROAD NO-14,VISHWAKARMAINDUSTRIAL AREA, JAIPUR-302013. JAIPUR-302013. , Unclassified RJ 000000",RoC-Jaipur,info@bajoriagroup.in,31-03-20,31-03-20
L28992RJ1991PLC006265,POLYCON INTERNATIONAL LTD.,Active,Public,Company limited by Shares,Non-govt company,17-10-91,Rajasthan,75000000,48891000,28992,"Manufacture of fabricated metal products, except machinery and equipment","C-98, JAGAN PATH, CHOMU HOUSE C-SCHEME JAIPUR , Jaipur Unclassified RJ 302001",RoC-Jaipur,polycon@polycon.in,31-03-20,31-03-20
L29299RJ1984PLC003040,PUNSUMI INDIA LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,23-06-84,Rajasthan,210000000,134552000,29299,Manufacture of machinery and equipment n.e.c.,"B-320, INDUSTRIAL AREA, BHIWADI ALWAR , Unclassified RJ 301019",RoC-Jaipur,punsumi_jpi@sanchar.net.in,NA,NA
L29299RJ2006PLC022625,MEWAR HI-TECH ENGINEERING LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-06-06,Rajasthan,45000000,39036000,29299,Manufacture of machinery and equipment n.e.c.,"1 HAWA MAGRI INDUSTRIAL AREA SUKHER UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,accounts@kingsoncrusher.com,31-03-20,31-03-20
L29305RJ1992PLC007003,DHABRIYA POLYWOOD LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-10-92,Rajasthan,125000000,108242450,29305,Manufacture of machinery and equipment n.e.c.,"B-9D(1),MALVIYA INDUSTRIALAREA, JAIPUR 302 017 JAIPUR , Unclassified RJ 302017",RoC-Jaipur,hitesh@polywood.org,31-03-20,31-03-20
L29308RJ1992PLC006870,GRAVITA INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-08-92,Rajasthan,150000000,138076000,29308,Manufacture of machinery and equipment n.e.c.,"'SAURABH', HARSULIA MOD,P.O. HARSULIA, DIGGI-MALPURA ROAD PHAGI , Unclassified RJ 303904",RoC-Jaipur,COMPANYSECRETARY@GRAVITAINDIA.COM,31-03-20,31-03-20
L31200RJ1990PLC005697,PUNSUMI FOILS AND COMPONENTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-11-90,Rajasthan,135000000,82137000,31200,Manufacture of electrical machinery and apparatus n.e.c.,"F-457, INDUSTRIAL AREA, BHIWADI , Unclassified RJ 301019",RoC-Jaipur,NA,NA,NA
L31300RJ1982PLC002460,MODERN INSULATORS LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-05-82,Rajasthan,950000000,471439000,31300,Manufacture of electrical machinery and apparatus n.e.c.,"Modern Insulators Limited Talheti, Village karoli, Tehsil Abu Road ABU Road , Sirohi Unclassified RJ 307510",RoC-Jaipur,compliance@moderninsulators.com,31-03-20,31-03-20
L31300RJ1987PLC003918,EMGEE CABLES AND COMMUNICATIONS LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-03-87,Rajasthan,100000000,20405500,31300,Manufacture of electrical machinery and apparatus n.e.c.,"F-75/76, UDYOG VIHAR, JAITPURA, JAIPUR , Unclassified RJ 303704",RoC-Jaipur,eccl.jpr@gmail.com,31-03-17,31-03-17
L31300RJ2007PLC024139,DYNAMIC CABLES LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-04-07,Rajasthan,230000000,220140000,31300,Manufacture of electrical machinery and apparatus n.e.c.,"F-260, ROAD NO. 13 VKI AREA JAIPUR , Unclassified RJ 302013",RoC-Jaipur,info@dynamiccables.co.in,31-03-20,31-03-20
L31501RJ1985PLC003427,AUTOPAL INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-10-85,Rajasthan,250000000,49963680,31501,Manufacture of electrical machinery and apparatus n.e.c.,"Plot No. 1, Naraniya Compound Wall Phase III, RIICO Industrial Area, Sitapura Jaipur , Jaipur Unclassified RJ 302022",RoC-Jaipur,info@autopal.com,31-03-17,31-03-17
L31506RJ1977PLC001738,AUTOLITE (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-06-77,Rajasthan,400000000,111812410,31506,Manufacture of electrical machinery and apparatus n.e.c.,"D-469, ROAD NO. 9-A, V.K.I. AREA JAIPUR , Unclassified RJ 302013",RoC-Jaipur,investors@autopal.com,31-03-19,31-03-19
L31909RJ1981PLC012073,SAMTEL INDIA LTD. (TRANSFER FROM DELHITO RAJASTHAN),Active,Public,Company limited by Shares,Non-govt company,29-06-81,Rajasthan,100000000,70842385,31909,Manufacture of electrical machinery and apparatus n.e.c.,"VILLAGE NAYA NOHRA KOTA BARAN ROAD TEHSIL LADPURA KOTA , Unclassified RJ 324001",RoC-Jaipur,samte.lindia@gmail.com,31-03-20,31-03-20
L32202RJ1992PLC017750,SHYAM TELECOM LIMITED,Active,Public,Company limited by Shares,Non-govt company,03-07-92,Rajasthan,750000000,112700000,32202,"Manufacture of radio, television and communication equipment and apparatus","SHYAM HOUSE, PLOT NO. 3, AMRAPALI CIRCLE, VAISHALI NAGAR JAIPUR , Jaipur Unclassified RJ 302021",RoC-Jaipur,stl.shyamjpr@gmail.com,31-03-20,31-03-20
L36911RJ1989PLC004945,VAIBHAV GLOBAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-05-89,Rajasthan,860000000,325210400,36911,Manufacture of furniture; manufacturing n.e.c.,"K-6B, FATEH TIBA,ADARSH NAGAR JAIPUR 302 004 , Unclassified RJ 000000",RoC-Jaipur,investor_relations@vaibhavglobal.com,31-03-20,31-03-20
L36911RJ1990PLC005651,GOENKA DIAMOND AND JEWELS LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-11-90,Rajasthan,330000000,317000000,36911,Manufacture of furniture; manufacturing n.e.c.,"401, PANCHRATNA, MOTI SINGHBHOMIYON KA RASTA, JOHARI BAZAR, JAIPUR , Unclassified RJ 000000",RoC-Jaipur,cs@goenkadiamonds.com,31-03-20,31-03-20
L36911RJ1996PLC011381,AU SMALL FINANCE BANK LIMITED,Active,Public,Company limited by Shares,Non-govt company,10-01-96,Rajasthan,3500000000,3122133900,36911,Manufacture of furniture; manufacturing n.e.c.,"19-A DHULESHWAR GARDEN JAIPUR , Unclassified RJ 302001",RoC-Jaipur,Secretarial@aubank.in,31-03-20,31-03-20
L36911RJ2016PLC049036,SILGO RETAIL LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-01-16,Rajasthan,110000000,102700000,36911,Manufacture of furniture; manufacturing n.e.c.,"B-11, MAHALAXMI NAGAR, JAWAHAR LAL NEHRU MARG JAIPUR JAIPUR , Jaipur Unclassified RJ 302017",RoC-Jaipur,info@silgo.in,31-03-20,31-03-20
L36994RJ2017PLC058454,PRITI INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-06-17,Rajasthan,60000000,25943320,36994,Manufacture of furniture; manufacturing n.e.c.,"PLOT NO. F-43 BASNI IST PHASE JODHPUR , Jodhpur Unclassified RJ 342001",RoC-Jaipur,g.d.lohiya@gmail.com,31-03-20,31-03-20
L40102RJ1977PLC001994,RELIANCE CHEMOTEX INDUSTRIES LTD,Active,Public,Company limited by Shares,Non-govt company,23-08-77,Rajasthan,437500000,75435630,40102,"Electricity, gas, steam and hot water supply","VILLEGE KANPUR, POST BOX NO.73, UDAIPUR. , Unclassified RJ 313003",RoC-Jaipur,cs@reliancechemotex.com,31-03-20,31-03-20
L40102RJ1997PLC013170,RAJASTHAN STATE ELECTRICITY CORPORATIONLIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,24-01-97,Rajasthan,5000000000,70000,40102,"Electricity, gas, steam and hot water supply","ROOM NO.116,VIDHYUT BHAWAN,R.C.DAVE MARG, JYOTI NAGAR, JAIPUR , Unclassified RJ 302006",RoC-Jaipur,NA,NA,NA
L40300RJ1985PLC047105,GLOBUS POWER GENERATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-06-85,Rajasthan,1020000000,989484800,40300,"Electricity, gas, steam and hot water supply","SHYAM HOUSE, PLOT NO. 3, AMRAPALI CIRCLE VAISHALI NAGAR JAIPUR , Jaipur Unclassified RJ 302021",RoC-Jaipur,globuscdl@gmail.com,31-03-20,31-03-20
L45200RJ1984PLC040606,SHRICON INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,24-02-84,Rajasthan,12500000,12400000,45200,Construction,"112B, FIRST FLOOR SHAKTI NAGAR KOTA , Kota Unclassified RJ 324009",RoC-Jaipur,INVESTOR.SHRICON@GMAIL.COM,31-03-20,31-03-20
L45201RJ1984PLC003114,NIHON NIRMAN LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-10-84,Rajasthan,400000000,271160280,45201,Construction,"BUBNA HOUSE BUDSU , Nagaur Unclassified RJ 341539",RoC-Jaipur,efilingin@gmail.com,31-03-20,31-03-20
L45201RJ1993PLC007831,OKAY PLUS INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-11-93,Rajasthan,55000000,41260000,45201,Construction,"72A KIRAN PATH SURAJ NAGAR WEST,CIVIL LINES JAIPUR , Jaipur Unclassified RJ 302006",RoC-Jaipur,okayplus1@gmail.com,31-03-20,31-03-20
L45201RJ1995PLC010646,BFL ASSET FINVEST LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-08-95,Rajasthan,120000000,102035000,45201,Construction,"1,TARA NAGAR, AJMER ROAD JAIPUR. , Unclassified RJ 302006",RoC-Jaipur,bfldevelopers@gmail.com,31-03-20,31-03-19
L45201RJ2003PLC018049,H.G. INFRA ENGINEERING LIMITED (PART IX),Active,Public,Company limited by Shares,Non-govt company,21-01-03,Rajasthan,800000000,651711110,45201,Construction,"14, PANCHWATI COLONYRATANADA, JODHPUR JODHPUR , Unclassified RJ 342001",RoC-Jaipur,cs@hginfra.com,31-03-20,31-03-20
L45201RJ2005PLC020463,AKME STAR HOUSING FINANCE LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-03-05,Rajasthan,170000000,156735000,45201,Construction,"AKME BUSINESS CENTRE (ABC), 4-5 SUBCITY SAVINA CIRCLE, OPP. KRISHI UPAZ MANDI UDAIPUR , Unclassified RJ 313002",RoC-Jaipur,compliance@akmestarhfc.in,31-03-20,31-03-19
L45201RJ2008PLC025705,DHANUKA REALTY LIMITED,Active,Public,Company limited by Shares,Non-govt company,18-01-08,Rajasthan,80000000,70400400,45201,Construction,"5TH FLOOR, THE SOLITAIRE, C-212 & C-213 GAUTAM MARG, HANUMAN NAGAR, VAISHALI NAGAR, JAIPUR , Unclassified RJ 302021",RoC-Jaipur,ankit.sain@dhanukagroup.in,31-03-20,31-03-20
L51397RJ1988PLC004569,SONI MEDICARE LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-08-88,Rajasthan,45000000,42649000,51397,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","38,KANOTA BAGH, JAWAHAR LAL NEHRU MARG, JAIPUR , Unclassified RJ 302004",RoC-Jaipur,sonihospital@sonihospitals.com,31-03-20,31-03-20
L51909RJ1987PLC018226,NEHA RESOURCES LIMITED (TRANSFERRED FROM WEST BENGAL),Active,Public,Company limited by Shares,Non-govt company,07-01-87,Rajasthan,45000000,40004000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","C/O BALAJI OIL MILL 117, Industrial Area, JHOTWARA, JAIPUR, , Unclassified RJ 302012",RoC-Jaipur,cs@balaji-castings.com,31-03-20,31-03-20
L52190RJ2008PLC027160,DEBOCK SALES AND MARKETING LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-08-08,Rajasthan,200000000,82200000,52190,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","51, Lohiya Colony, 200ft Bye Pass Vaishali nagar Jaipur , Unclassified RJ 302021",RoC-Jaipur,info@debockgroup.com,31-03-20,31-03-20
L55101RJ1990PLC013744,CROSS COUNTRY HOTELS LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-12-90,Rajasthan,175000000,109109000,55101,Hotels and restaurants,"CROSS COUNTRY HERITAGE HOTEL, MUKAND GARH FORT, MUKUNDGARH, JHUNJHUNU, , Jhunjhunun Unclassified RJ 333705",RoC-Jaipur,SALES@CROSSCOUNTRY.CO.IN,31-03-16,31-03-16
L60232RJ2010PLC031380,GLOBE INTERNATIONAL CARRIERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-03-10,Rajasthan,105000000,80394000,60232,"Transport, storage and communications","301 - 306, Prakash Deep Complex, Near Mayank Trade Centre, Station Road Jaipur , Jaipur Unclassified RJ 302006",RoC-Jaipur,cs@gicl.co,31-03-20,31-03-20
L63010RH2012PLC040995,TREKKINGTOES.COM LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-12-12,Rajasthan,16500000,16023120,63010,"Transport, storage and communications","236 MAHAVEER NAGAR 1st DURGAPURA, TONKROAD JAIPUR , Jaipur Unclassified RJ 302018",RoC-Jaipur,sagar240791@gmail.com,31-03-20,31-03-20
